genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
A Capella,The Singers Unlimited,All the Things You Are,3rAyathx1VKaUel80vh1g0,8,0.977,0.243,225850,0.0622,0.0566,B,0.0907,-19.874,Minor,0.0383,134.759,5/4,0.038
A Capella,Hyannis Sound,Heart of the Matter,32UjV7hPzoktJuUKPRDkfD,0,0.49,0.616,285187,0.506,0.0,B,0.142,-7.704,Major,0.0355,91.02,4/4,0.188
A Capella,Glad,A Debtor to Mercy Alone,6TK4I15u1oym5H2eETng4F,24,0.599,0.389,181267,0.153,0.0,E,0.0902,-12.023,Major,0.043,120.626,4/4,0.236
A Capella,The Singers Unlimited,"Here, There and Everywhere",4K2JGJXrYVq83aoa59x7Xw,10,0.984,0.261,173732,0.0735,2.47e-05,G,0.084,-17.343,Major,0.0345,167.661,4/4,0.187
A Capella,The Singers Unlimited,The Fool On the Hill,3epS64XtnJEsWVmD4MGpo8,15,0.971,0.291,271735,0.0979,0.00961,F,0.151,-17.929,Major,0.0302,110.908,3/4,0.113
A Capella,The King's Singers,Cry Me a River,0xbrLsMvYqboUQgNhdP77s,1,0.956,0.259,201040,0.0525,0.000205,A#,0.113,-21.525,Minor,0.0352,107.431,5/4,0.0775
A Capella,The Singers Unlimited,I Don't Know Where I Stand,6NqmBUATHS25mastXwA94Y,5,0.976,0.18,207760,0.0674,0.00361,A#,0.104,-18.92,Minor,0.0332,78.818,4/4,0.0665
A Capella,MC6 A Cappella,Goodnight Sweetheart,7dv7qZnNL5ihfvDRG699Xy,23,0.83,0.628,144867,0.299,0.0,G,0.31,-9.483,Major,0.0473,135.896,1/4,0.557
A Capella,Hyannis Sound,Use Somebody,3dAOzj0Yb3hHD6sllOKtZR,2,0.434,0.513,228307,0.524,0.0,C,0.242,-6.999,Major,0.0284,138.067,4/4,0.559
A Capella,The Singers Unlimited,Lost in the Stars,5bpGtPqFB5yVFTVWxvYY6X,6,0.972,0.32,197262,0.0628,3.39e-05,D#,0.11,-18.562,Major,0.0335,118.643,3/4,0.0516
A Capella,MC6 A Cappella,Surfer Girl,0m8ZjsRZYRQlj7gpp9x1QI,18,0.69,0.524,174320,0.298,0.0,G#,0.315,-9.789,Major,0.0254,94.508,3/4,0.543
A Capella,The King's Singers,I've Got You Under My Skin,3BgK9eg2tEal7aXwaaPL6e,1,0.958,0.38,221867,0.067,0.0,F,0.111,-21.115,Minor,0.0321,95.665,4/4,0.179
A Capella,Peter Hollens,December Song (A Capella Bonus Track),6ErNbBNEpZcg3Pjboi8R7j,20,0.863,0.253,238039,0.417,6.33e-06,F#,0.0974,-3.561,Major,0.0287,143.374,3/4,0.208
A Capella,Hyannis Sound,"Ok, It's Alright With Me",42QN694XzOivii0tWb1LTg,1,0.484,0.683,149933,0.521,0.0,C,0.106,-6.649,Major,0.0335,151.952,4/4,0.518
A Capella,Glad,"All Glory, Laud and Honor",0ENyD2LlUqIqzILaWaXN8Y,7,0.914,0.171,234707,0.185,0.0,A,0.162,-13.997,Major,0.0306,76.832,4/4,0.189
A Capella,Glad,O Sacred Head Now Wounded,4T0MhF3l1r8GGjVu9D68LG,10,0.793,0.315,167760,0.187,0.0,B,0.225,-9.709,Minor,0.0284,80.885,4/4,0.19
A Capella,The UNCG Spartones,Something's Missing (A Capella) [Bonus Track],0EuLgf70TMEQks2jeiTaaL,1,0.869,0.283,211000,0.447,0.0,C#,0.137,-6.217,Minor,0.0351,130.481,1/4,0.466
A Capella,MC6 A Cappella,For the Longest Time,0PuWvFJqZPJAxZNrFgw8xL,44,0.78,0.616,223813,0.298,0.0,D,0.0973,-7.712,Major,0.0274,82.471,4/4,0.712
